table_catalog,table_schema,table_name,table_type,table_description
app_data,databricks_mcp_metrics_dev,otel_annotations,MANAGED,
app_data,databricks_mcp_metrics_dev,otel_logs,MANAGED,
app_data,databricks_mcp_metrics_dev,otel_metrics,MANAGED,
app_data,databricks_mcp_metrics_dev,otel_spans,MANAGED,
app_data,databricks_mcp_metrics_prod,otel_spans,MANAGED,
dev_data_modelling_gold,audience,d_acquisition_event_type,MANAGED,
dev_data_modelling_gold,audience,d_branch_journey,MANAGED,
dev_data_modelling_gold,audience,d_marketing_ad,MANAGED,
dev_data_modelling_gold,audience,d_marketing_adgroup,MANAGED,
dev_data_modelling_gold,audience,d_marketing_campaign,MANAGED,
dev_data_modelling_gold,audience,d_marketing_channel,MANAGED,
dev_data_modelling_gold,audience,d_marketing_keyword,MANAGED,
dev_data_modelling_gold,audience,d_page_type,MANAGED,
dev_data_modelling_gold,audience,f_acquisition_daily,MANAGED,
dev_data_modelling_gold,audience,f_app_install_daily,MANAGED,
dev_data_modelling_gold,audience,f_branch_journey_daily,MANAGED,
dev_data_modelling_gold,dimension_car_hire,d_car_class,MANAGED,A dimension for car class based on the cars SIPP code
dev_data_modelling_gold,dimension_car_hire,d_car_hire_vendor,MANAGED,A dimension for car class based on the cars SIPP code
dev_data_modelling_gold,dimension_core,d_authentication_status,MANAGED,
dev_data_modelling_gold,dimension_core,d_browser,MANAGED,
dev_data_modelling_gold,dimension_core,d_city,MANAGED,City
dev_data_modelling_gold,dimension_core,d_click_kind,MANAGED,Click kind
dev_data_modelling_gold,dimension_core,d_country,MANAGED,Country
dev_data_modelling_gold,dimension_core,d_currency,MANAGED,Click kind
dev_data_modelling_gold,dimension_core,d_date,MANAGED,Table for Date
dev_data_modelling_gold,dimension_core,d_deal_type,MANAGED,Type of commercial deal believed to be in place for partner where user is redirected.
dev_data_modelling_gold,dimension_core,d_device,MANAGED,
dev_data_modelling_gold,dimension_core,d_exit_type,MANAGED,
dev_data_modelling_gold,dimension_core,d_locale,MANAGED,"A dimension for locale, relating to user culture data"
dev_data_modelling_gold,dimension_core,d_market,MANAGED,
dev_data_modelling_gold,dimension_core,d_metric,MANAGED,
dev_data_modelling_gold,dimension_core,d_operating_system,MANAGED,
dev_data_modelling_gold,dimension_core,d_page_type,MANAGED,
dev_data_modelling_gold,dimension_core,d_partner_brand,MANAGED,Partner brand
dev_data_modelling_gold,dimension_core,d_partner_page_depth,MANAGED,Depth of deep link (or Skyscanner dBook/BwS checkout page) achieved
dev_data_modelling_gold,dimension_core,d_platform,MANAGED,
dev_data_modelling_gold,dimension_core,d_user_behaviour,MANAGED,
dev_data_modelling_gold,dimension_core,d_user_retention_type,MANAGED,
dev_data_modelling_gold,dimension_core,d_vertical,MANAGED,various verticals within Skyscanner
dev_data_modelling_gold,dimension_core,d_window,MANAGED,
dev_data_modelling_gold,dimension_flight,d_airport,MANAGED,Airport
dev_data_modelling_gold,dimension_flight,d_cabin_class,MANAGED,Different cabin classes used in our operations
dev_data_modelling_gold,dimension_flight,d_carrier,MANAGED,"The carrier dimension contains data pertaining to carriers (e.g. easyJet) made available by Skyscanners internal carrier API, which in turn presents data from the CasC carrier files"
dev_data_modelling_gold,dimension_flight,d_flight_route,MANAGED,Flight Routes
dev_data_modelling_gold,dimension_flight,d_haul_type,MANAGED,Haul type
dev_data_modelling_gold,dimension_flight,d_itinerary_sort_order,MANAGED,Itinerary sort order
dev_data_modelling_gold,dimension_flight,d_leg_type,MANAGED,Leg type
dev_data_modelling_gold,dimension_flight,d_route_type,MANAGED,Route type
dev_data_modelling_gold,dimension_flight,d_segment_type,MANAGED,Segment Type of each Itinerary
dev_data_modelling_gold,dimension_flight,d_trip_type,MANAGED,Trip type
dev_data_modelling_gold,dimension_hotel,d_hotel,MANAGED,
dev_data_modelling_gold,user,d_entrypoint,MANAGED,
dev_data_modelling_gold,user,d_user,MANAGED,
dev_data_modelling_gold,user,d_user_behaviour,MANAGED,
dev_data_modelling_gold,user,f_repeat_rate,MANAGED,
dev_data_modelling_gold,user,f_segmented_user_behaviour_daily,MANAGED,
